title,company,address,experience,url,query,page,vacancy_id
Аналитик продаж,ООО Газпромнефть-Региональные продажи,Санкт-Петербург,Опыт 1-3 года,https://hh.ru/vacancy/136352891?query=Data+Analyst,Data Analyst,1,136352891
Middle+ / Senior Data Engineer / ETL-разработчик,ООО SpbDev,Москва,Опыт более 6 лет,https://hh.ru/vacancy/135655122?query=Data+Analyst,Data Analyst,1,135655122
"Коммерческий директор / Chief Commercial Officer, CCO",ООО Стафф Контракт,Москва,Опыт более 6 лет,https://hh.ru/vacancy/136117477?query=Data+Analyst,Data Analyst,1,136117477
Менеджер проектов,Paper Planes,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136072352?query=Data+Analyst,Data Analyst,2,136072352
Strategy & Business Analyst / Бизнес Аналитик,BlaBlaCar,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136212025?query=Data+Analyst,Data Analyst,2,136212025
Младший аналитик данных,SOKOLOV,"Кострома, р-н Центральный",Опыт 1-3 года,https://hh.ru/vacancy/135774982?query=Data+Analyst,Data Analyst,2,135774982
Java Backend разработчик,Альфа-Банк. ИТ-специалисты,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135029864?query=Data+Analyst,Data Analyst,2,135029864
Data Platform Engineer,ООО Ритейл Эксперт,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136298963?query=Data+Analyst,Data Analyst,2,136298963
Менеджер по корпоративным финансам,ООО Хевел,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136338546?query=Data+Analyst,Data Analyst,2,136338546
ML-инженер,"МАГНИТ, Розничная сеть. IT","Москва, р-н Беговой",Опыт 1-3 года,https://hh.ru/vacancy/136298305?query=Data+Analyst,Data Analyst,2,136298305
Системный аналитик Security Vision,ЛИАН,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136144074?query=Data+Analyst,Data Analyst,2,136144074
Старший исследователь продукта (Посуточная аренда жилья),Циан,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136348952?query=Data+Analyst,Data Analyst,2,136348952
Системный Аналитик,АО Зарубежнефть,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136358881?query=Data+Analyst,Data Analyst,2,136358881
Strong Junior / Middle Risk Quant,АО ForteBank,"Астана, улица Достык, 8/1",Опыт 1-3 года,https://hh.ru/vacancy/136173116?query=Data+Analyst,Data Analyst,2,136173116
Аналитик данных/Инженер по качеству данных,X5 Tech,"Москва, р-н Замоскворечье",Опыт 3-6 лет,https://hh.ru/vacancy/136249031?query=Data+Analyst,Data Analyst,2,136249031
Инженер-программист C++ \ QT,РОСКОСМОС,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136347187?query=Data+Analyst,Data Analyst,2,136347187
Product Analyst / Продуктовый аналитик,Плати по миру,"Москва, р-н Тверской",Опыт 3-6 лет,https://hh.ru/vacancy/136220814?query=Data+Analyst,Data Analyst,2,136220814
Middle Аналитик,Metacommerce,Уфа,Опыт 3-6 лет,https://hh.ru/vacancy/135767707?query=Data+Analyst,Data Analyst,2,135767707
Data analyst - Collection,UZUM TECHNOLOGIES. IT,"Ташкент, Ферганское шоссе, 23",Опыт 1-3 года,https://hh.ru/vacancy/136140298?query=Data+Analyst,Data Analyst,2,136140298
Стажер аналитик данных / Intern Data Analyst,Deft,Москва,Без опыта,https://hh.ru/vacancy/134581924?query=Data+Analyst,Data Analyst,2,134581924
Business Analyst,ООО ПСТ Лабс,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136185677?query=Data+Analyst&hhtmFrom=vacancy_search_list,Data Analyst,2,136185677
