title,company,address,experience,url,query,page,vacancy_id,matched_queries
Product Operations Manager,ООО Тогл Софт / Toggle,Минск,Опыт 1-3 года,https://rabota.by/vacancy/136300517?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,0,136300517,['Data Engineer']
DevOps-инженер,ТОО Институт Космической Техники и Технологии,Алматы,Опыт 1-3 года,https://hh.ru/vacancy/136333715?query=Data+Engineer,Data Engineer,1,136333715,['Data Engineer']
Data Аналитик,Ventra,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136182120?query=Data+Engineer,Data Engineer,1,136182120,['Data Engineer']
Senior+ Data / AI Engineer | LLM / Multi-Agent / RAG,ООО Цифровые технологии и платформы,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136179259?query=Data+Engineer,Data Engineer,1,136179259,"['Data Engineer', 'Python Developer']"
"Стажер Data Engineer в Аналитику для сервиса Заявки Телеком данных [Big Data, МТС Веб Сервисы]","""МТС"", Работа в IT",Москва,Без опыта,https://hh.ru/vacancy/135856097?query=Data+Engineer,Data Engineer,1,135856097,['Data Engineer']
Project Engineer,ТОО JTI Kazakhstan,село Байсерке,Опыт 1-3 года,https://hh.ru/vacancy/136358650?query=Data+Engineer,Data Engineer,1,136358650,['Data Engineer']
Data Engineer,Национальный банк внешнеэкономической деятельности Республики Узбекистана,"Ташкент, проспект Амира Темура, 101",Опыт 1-3 года,https://hh.ru/vacancy/136237838?query=Data+Engineer,Data Engineer,1,136237838,['Data Engineer']
Product Manager по экономике AI-продуктов,PravoTech,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136178263?query=Data+Engineer,Data Engineer,1,136178263,['Data Engineer']
Data Engineer (Python),Marfatech,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136073653?query=Data+Engineer,Data Engineer,1,136073653,['Data Engineer']
"Data Engineer / Системный аналитик (SQL, Python) / Backend Developer",XUSAINOVA MADINA RAXIMDJANOVNA,Москва,Опыт более 6 лет,https://hh.ru/vacancy/136262283?query=Data+Engineer,Data Engineer,1,136262283,['Data Engineer']
Data Engineer,MAREE,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136147340?query=Data+Engineer,Data Engineer,1,136147340,['Data Engineer']
Network Engineer (Vietnam),Servers.com,Дананг,Опыт 3-6 лет,https://hh.ru/vacancy/135181766?query=Data+Engineer,Data Engineer,1,135181766,['Data Engineer']
Electrical Design Engineer (Atyrau),ТОО Bolashak Atyrau,Атырау,Опыт 3-6 лет,https://hh.ru/vacancy/136286225?query=Data+Engineer,Data Engineer,1,136286225,['Data Engineer']
Senior Backend Engineer (C#/.NET Core),Meteoro Platform,Астана,Опыт более 6 лет,https://hh.ru/vacancy/136256815?query=Data+Engineer,Data Engineer,1,136256815,['Data Engineer']
Аналитик DWH / Инженер данных (Data Engineer),ООО Реванш,"Саратов, Вольский тракт, 14",Опыт 3-6 лет,https://hh.ru/vacancy/136334453?query=Data+Engineer,Data Engineer,2,136334453,['Data Engineer']
Head of QA,ТРТ,Тбилиси,Опыт более 6 лет,https://hh.ru/vacancy/135981665?query=Data+Engineer,Data Engineer,2,135981665,"['AI Engineer', 'Data Engineer']"
Middle Data Engineer (СберAds),ООО ИЦ АЙ-ТЕКО,"Москва, р-н Тверской",Опыт 3-6 лет,https://hh.ru/vacancy/136304348?query=Data+Engineer,Data Engineer,2,136304348,['Data Engineer']
L1/L2 Support Engineer,Научсофт,Тбилиси,Без опыта,https://rabota.by/vacancy/135995067?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,2,135995067,['Data Engineer']
Full-Stack AI Engineer,ТОО Improvado KZ,Сербия,Опыт более 6 лет,https://hh.ru/vacancy/136237601?query=Data+Engineer,Data Engineer,2,136237601,"['AI Engineer', 'Data Engineer']"
Junior Data Engineer (Laboratory 2.0),IDF Technology,"Минск, Интернациональная улица, 36",Опыт 1-3 года,https://rabota.by/vacancy/136184932?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,2,136184932,['Data Engineer']
DevOps-инженер (Infra),YADRO,Владивосток,Опыт 3-6 лет,https://hh.ru/vacancy/136119802?query=Data+Engineer,Data Engineer,2,136119802,['Data Engineer']
Руководитель команды DWH,"МАГНИТ, Розничная сеть. IT",Москва,Опыт 1-3 года,https://hh.ru/vacancy/136322531?query=Data+Engineer,Data Engineer,2,136322531,['Data Engineer']
"Руководитель разработки AI, ML, ITL.",Т1 ИИ,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136290333?query=Data+Engineer,Data Engineer,2,136290333,['Data Engineer']
AI Engineer,IBS,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136216611?query=Data+Engineer,Data Engineer,2,136216611,['Data Engineer']
Data Scientist,ООО Лайфтех,Минск,Опыт 3-6 лет,https://rabota.by/vacancy/136141713?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,2,136141713,['Data Engineer']
Инженер инфраструктуры данных (Data Infrastructure Engineer),Смартер,Казань,Опыт 1-3 года,https://hh.ru/vacancy/136120004?query=Data+Engineer,Data Engineer,2,136120004,['Data Engineer']
Data Engineer (Middle+/Senior),ТРТ,Баку,Опыт более 6 лет,https://hh.ru/vacancy/136210901?query=Data+Engineer,Data Engineer,2,136210901,['Data Engineer']
Junior Data Engineer,ООО АФЛТ-Системс,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135499818?query=Data+Engineer,Data Engineer,2,135499818,['Data Engineer']
Аналитик данных (Фарма),Велфарм Групп,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135225531?query=Data+Engineer,Data Engineer,2,135225531,['Data Engineer']
Quant Trader (кросс-биржевой арбитраж),,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135623220?query=Data+Engineer,Data Engineer,2,135623220,['Data Engineer']
Software QA Engineer/Intern (AI-Powered),ТОО Талисман качества,Алматы,Без опыта,https://hh.ru/vacancy/135976683?query=Data+Engineer,Data Engineer,2,135976683,['Data Engineer']
Data Engineer,"ПАО МегаФон, IT",Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136098939?query=Data+Engineer,Data Engineer,2,136098939,"['Data Engineer', 'MLOps']"
Data Engineer,SkillStaff,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136132667?query=Data+Engineer,Data Engineer,3,136132667,['Data Engineer']
Data engineer+analyst (DWH),Maxima.tech,Казань,Опыт 1-3 года,https://hh.ru/vacancy/136028980?query=Data+Engineer,Data Engineer,3,136028980,['Data Engineer']
ML Engineer / Data Engineer,Сбер. IT,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136324231?query=Data+Engineer,Data Engineer,3,136324231,['Data Engineer']
Head of Engineering,ООО HAAS PLATFORM,Ташкент,Опыт 3-6 лет,https://hh.ru/vacancy/136097343?query=Data+Engineer,Data Engineer,3,136097343,['Data Engineer']
Стажер-системный аналитик,IBS,"Таганрог, Гоголевский переулок, 6",Без опыта,https://hh.ru/vacancy/136157632?query=Data+Engineer,Data Engineer,3,136157632,['Data Engineer']
Data Analyst,Andersen,"Батуми, проспект Жиули Шартава, 10",Опыт 3-6 лет,https://rabota.by/vacancy/136291336?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,3,136291336,['Data Engineer']
"Инженер-расчетчик (CFD, гидродинамика, массообмен) / R&D Engineer, г. Тбилиси",ООО Политех-Плюс,"Тбилиси, улица Акаки Белиашвили, 106",Опыт более 6 лет,https://hh.ru/vacancy/135903504?query=Data+Engineer,Data Engineer,3,135903504,['Data Engineer']
Procurement Manager,ТОО Эйрбас Хеликоптерс Казахстан инжиниринг (Airbus Неliсорtегs Kazakhstan Еnginееring),"Нур-Султан (Астана), улица № 229, 8",Опыт 3-6 лет,https://hh.ru/vacancy/135846467?query=Data+Engineer,Data Engineer,3,135846467,['Data Engineer']
Middle Data Analyst (Дата аналитик),АО CLICK,Ташкент,Опыт 1-3 года,https://hh.ru/vacancy/135688814?query=Data+Engineer,Data Engineer,3,135688814,['Data Engineer']
AI/LLM Security Researcher / Senior MLSecOps (AISec StartUp),SpaceAI,Казань,Опыт более 6 лет,https://hh.ru/vacancy/136100040?query=Data+Engineer,Data Engineer,3,136100040,"['Data Engineer', 'MLOps']"
Senior DevOps Engineer,АО Центр цифрового развития Национального Банка Казахстана,город республиканского значения Астана,Опыт более 6 лет,https://hh.ru/vacancy/136317042?query=Data+Engineer,Data Engineer,3,136317042,['Data Engineer']
Senior AI Engineer (LLM / AI-продукты),РУСАЛ,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136188903?query=Data+Engineer,Data Engineer,3,136188903,['Data Engineer']
Project manager (GigaChat Runtime),Сбер. IT,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136135754?query=Data+Engineer,Data Engineer,3,136135754,"['AI Engineer', 'Data Engineer']"
Data Analyst,Andersen,Ташкент,Опыт 3-6 лет,https://rabota.by/vacancy/136182913?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,3,136182913,['Data Engineer']
Product analyst,ФЕНСИ ТЕК ГРУП,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135893157?query=Data+Engineer,Data Engineer,3,135893157,"['AI Engineer', 'Data Engineer']"
Продуктовый аналитик,Limex,"Чебоксары, улица Карла Маркса, 60А",Опыт 1-3 года,https://hh.ru/vacancy/135388308?query=Data+Engineer,Data Engineer,3,135388308,['Data Engineer']
Senior Software Test Engineer (Manual+Automation),Иностр. п. ОбъектСтиль/ Object Style,Бишкек,Опыт более 6 лет,https://rabota.by/vacancy/136167953?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,4,136167953,['Data Engineer']
Python Backend Engineer (GenAI Data Governance),Сбер. IT,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136327437?query=Data+Engineer,Data Engineer,4,136327437,['Data Engineer']
Продюсер AI-видео,VVP Group,Химки,Опыт 1-3 года,https://hh.ru/vacancy/135341881?query=Data+Engineer,Data Engineer,4,135341881,['Data Engineer']
Technical Support Team Lead,Zentist,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135880727?query=Data+Engineer,Data Engineer,4,135880727,['Data Engineer']
Аналитик данных (ученик),Aston,Москва,Без опыта,https://hh.ru/vacancy/135979782?query=Data+Engineer,Data Engineer,4,135979782,['Data Engineer']
Архитектор баз данных (Data Engineer),ООО Обьнефтеремонт,"Нижневартовск, Индустриальная улица, 4Ас1",Без опыта,https://hh.ru/vacancy/135985728?query=Data+Engineer,Data Engineer,4,135985728,['Data Engineer']
Solar engineer,Yashil energiya,"Ташкент, 1-й проезд Чынгыза Айтматова, 2Б",Опыт 3-6 лет,https://hh.ru/vacancy/136105492?query=Data+Engineer,Data Engineer,4,136105492,['Data Engineer']
Senior Analytics Engineer,ООО TRADINGVIEW GEORGIA,"Тбилиси, улица Жиули Шартава, 31/33",Опыт 3-6 лет,https://hh.ru/vacancy/136129580?query=Data+Engineer,Data Engineer,4,136129580,['Data Engineer']
Head of SaS Product Delivery,DELVE,"Минск, проспект Дзержинского, 3Б",Опыт 3-6 лет,https://rabota.by/vacancy/136222122?query=Data+Engineer&hhtmFrom=vacancy_search_list,Data Engineer,4,136222122,['Data Engineer']
Оператор ПК,METRO.Торговые центры,"Севастополь, улица Тараса Шевченко, 61",Без опыта,https://hh.ru/vacancy/136327301?query=Data+Engineer,Data Engineer,4,136327301,['Data Engineer']
Data Engineer/Дата инженер (в банках),ТОО Agile Soft,Ташкент,Опыт 3-6 лет,https://hh.ru/vacancy/136176163?query=Data+Engineer,Data Engineer,4,136176163,['Data Engineer']
Business Analyst,Uspio LTD,Тбилиси,Опыт 3-6 лет,https://hh.ru/vacancy/136017136?query=Data+Engineer,Data Engineer,4,136017136,['Data Engineer']
Аналитик данных / DWH,ООО Блейз Аналитикс,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135945939?query=Data+Engineer,Data Engineer,4,135945939,['Data Engineer']
Senior data-инженер (Комплаенс),Сбер. IT,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/136347286?query=Data+Engineer,Data Engineer,4,136347286,['Data Engineer']
Intern/Staff in Climate Change and Sustainability Services,EY Uzbekistan,"Ташкент, проспект Мустакиллик, 75",Опыт 1-3 года,https://hh.ru/vacancy/135892305?query=Data+Engineer,Data Engineer,5,135892305,['Data Engineer']
Инженер данных / Data Engineer,Федеральное автономное учреждение «Национальный институт аккредитации» (ФАУ НИА),Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135755986?query=Data+Engineer,Data Engineer,5,135755986,['Data Engineer']
Data&BI Manager,ИП SMART,Алматы,Опыт 3-6 лет,https://hh.ru/vacancy/136249714?query=Data+Engineer,Data Engineer,5,136249714,['Data Engineer']
IT Business Analyst / Project Manager,АО Astana International Financial Centre Authority,"Астана, проспект Мангилик Ел, 55/18",Опыт 3-6 лет,https://hh.ru/vacancy/135908773?query=Data+Engineer,Data Engineer,5,135908773,['Data Engineer']
Специалист электронных баз данных,METRO.Торговые центры,Москва,Без опыта,https://hh.ru/vacancy/135611075?query=Data+Engineer,Data Engineer,5,135611075,['Data Engineer']
Geologist (Kuwait),Rubius,Москва,Опыт более 6 лет,https://hh.ru/vacancy/135981970?query=Data+Engineer,Data Engineer,5,135981970,['Data Engineer']
Senior Frontend Engineer (Vue),ТРТ,Тбилиси,Опыт более 6 лет,https://hh.ru/vacancy/135483255?query=Data+Engineer,Data Engineer,5,135483255,['Data Engineer']
