title,company,address,experience,url,query,page,vacancy_id,matched_queries,description,skills,skills_count,python,r,java,scala,cpp,pandas,numpy,scipy,statsmodels,matplotlib,seaborn,plotly,power_bi,tableau,excel,power_query,dax,looker,qlik,metabase,sql,postgresql,mysql,ms_sql_server,oracle,clickhouse,mongodb,redis,sqlite,scikit_learn,xgboost,lightgbm,catboost,pytorch,tensorflow,keras,opencv,yolo,nlp,transformers,huggingface,llm,rag,langchain,llamaindex,openai_api,spark,hadoop,kafka,airflow,dbt,hive,snowflake,bigquery,databricks,docker,kubernetes,mlflow,dvc,git,github,gitlab,jenkins,ci_cd,aws,azure,gcp,fastapi,flask,django,rest_api,jupyter,notebook,sas,spss,title_clean,role,role_v1
Аналитик закупок / Data Analyst (цифровизация закупочных процессов),BI Group. BI Development,Астана,Опыт 3-6 лет,https://hh.ru/vacancy/136355780?query=BI+Analyst,BI Analyst,1,136355780,['BI Analyst'],"Требования: — Высшее образование в области экономики, аналитики , IT, логистики или смежных направлений. — Опыт работы от 2 лет в аналитике данных, закупках, логистике или финансовом анализе. — Опыт работы с ERP-системами (1С, SAP, Oracle и др.) и большими массивами данных. — Продвинутый Excel и опыт работы с Power BI , Tableau, Qlik Sense или аналогичными BI -инструментами. — Навыки автоматизации отчетности; знание SQL, Python или RPA будет преимуществом. — Понимание закупочных процессов, логистики и управления цепочками поставок. — Опыт построения аналитики , прогнозирования и визуализации данных. — Сильные аналитические навыки и системное мышление. — Умение работать в многозадачном режиме и взаимодействовать с разными подразделениями. — Навыки подготовки аналитических материалов и презентаций для руководства. Обязанности: — Анализ данных из ERP-систем, BI -платформ и корпоративных источников. — Разработка и сопровождение дашбордов, аналитических панелей и автоматизированной отчетности. — Мониторинг ключевых показателей закупок, логистики и управления запасами. — Анализ закупочных затрат и подготовка прогнозов потребности ТМЦ. — Выявление точек оптимизации и автоматизации закупочных процессов. — Участие во внедрении цифровых и AI-решений для аналитики и отчетности. — Разработка инструментов контроля рисков и эффективности поставщиков. — Подготовка аналитики и рекомендаций для принятия управленческих решений. — Взаимодействие с подразделениями закупок, логистики, финансов, производства и IT. — Участие в проектах по цифровизации и повышению прозрачности процессов закупок. Условия: — Возможность профессионального и карьерного роста. — Работа в команде с развитой культурой сотрудничества и поддержки. — Комфортные условия труда и развитая корпоративная среда. — Конкурентная заработная плата по итогам интервью. — Частичная медицинская страховка. — Ежегодная компенсация (кафетерий) на выбор: фитнес, медицинские услуги, санаторно-курортное лечение или туристические путёвки.","['python', 'power_bi', 'tableau', 'excel', 'qlik', 'sql']",6,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик закупок / data analyst (цифровизация закупочных процессов),Data Analyst,Data Analyst
Аналитик данных/Старший аналитик/Бизнес-аналитик,АНО Центр Компетенций в Сфере Производительности Труда Краснодарского Края,"Краснодар, р-н Карасунский",Опыт 3-6 лет,https://hh.ru/vacancy/136352738?query=BI+Analyst,BI Analyst,1,136352738,['BI Analyst'],"Аналитик данных, Старший аналитик, Бизнес-аналитик, BI-аналитик Обязанности: Сбор, анализ и агрегирование данных и материалов, в целях создания программных продуктов/решений для реализации проектов в сфере: Топливно-энергетического комплекса; Агропромышленного комплекса; Санаторно-курортного и туристического комплекса; Транспортно-логистического комплекса; Комплекса строительства и жилищно-коммунального хозяйства; Комплекса социальных и инновационных услуг; Построение визуализаций и презентация результатов анализа; Анализ ключевых показателей, выявление закономерностей, извлечение из данных инсайтов; Знание методов сбора, оценки и анализа информации; Изучение предметных областей, анализ и подбор данных; Подготовка аналитических отчетов для контроля эффективности работ (выгрузка данных, их анализ, оптимизация и представление в различных срезах); Анализ, описание и оптимизация бизнес-процессов, выявление проблем и формирование рекомендации по оптимизации бизнес-процессов. Требования: высшее образование (экономическое, бизнес-информатика, экономический анализ, прикладная математика и информатика, цифровая экономика); опыт работы не менее 3-х лет по профилю, не менее 1 года в направлении аналитика; аналитическое мышление и умение систематизировать информацию; психологическая/эмоциональная устойчивость к стрессовым ситуациям; навыки уверенного пользователя в MS Excel, умение пользоваться простыми и сложными формулами MS Excel, составления сводных таблиц, стандартные приемы обработки массива данных и их структурирования; Внимательность и ответственность; Стрессоустойчивость, инициативность и ориентация на результат; Умение работать в команде и выстраивать эффективную коммуникацию. Условия: Работа в команде квалификационных специалистов; Профессиональное и карьерное развитие; Ненормированный рабочий день (увеличенный отпуск); Официальное трудоустройство, «белая» заработная плата; Заработная плата обсуждается после оценки квалификации специалиста на собеседовании. Заработная плата выплачивается без задержек, 2 раза в месяц. Ежеквартальная премия по результатам деятельности; Полный социальный пакет; ДМС для сотрудников выше среднего по рынку - здоровье всегда под защитой. Комфортабельный современный офис.",['excel'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик данных/старший аналитик/бизнес-аналитик,Data Analyst,Data Analyst
BI-аналитик,S7 Group,Москва,Опыт 1-3 года,https://hh.ru/vacancy/136031597?query=BI+Analyst,BI Analyst,1,136031597,['BI Analyst'],"ЗАО «Группа компаний С7» (S7 Group) — управляющая компания холдинга S7. Мы занимаемся стратегическим и коммерческим планированием, юридическим сопровождением, управляем финансами, маркетингом, пиаром и развиваем продажи. Сейчас мы находимся в поиске BI-аналитика. Нам очень хочется, чтобы сотрудники росли вместе с компанией, учились, развивались и повышали свою квалификацию. Всё это поможет достигать поставленных целей, которые ставит перед собой S7. Чем предстоит заниматься: Формирование регулярных отчетов в Tableau, формирование ad-hoc отчетности с использованием (python, R, Tableau); Подготовка презентаций и аналитических материалов к регулярным мероприятиям; Формирование требований к отчетам для разработчиков DWH; Определение источников данных для отчетов, реализация алгоритмов определения KPI; Проведение EDA; Выбор оптимальной формы визуализации данных; Для нас важно: Опыт работы с Tableau, опыт анализа данных с использованием R и/или Python; Умение писать аналитические SQL-запросы; Понимание принципов построения KPI; Понимание принципов построения DWH, Data Lake; Знание математической статистики; Понимание принципов data storytelling; Опыт использования одной или нескольких библиотек визуализации данных (ggplot2, Plotly, Seaborn, matplotlib, d3.js, Vega, Shiny); Образование: высшее техническое либо высшее физико-математическое; Коммуникабельность; Мы предлагаем: Условия работы: Мы полностью соблюдаем трудовое законодательство Российской Федерации; Супер удобное расположение офиса - Петровка, 7; Пятидневный график работы в современном офисе класса А+; Корпоративная жизнь, насыщенная разнообразными событиями; Карьера: Профессиональное обучение, участие в тренингах и конференциях; Возможность развиваться, пробовать новое, проявлять инициативу, запускать свои проекты. Профессиональный и дружный коллектив, готовый делиться опытом и знаниями; Корпоративные привилегии: ДМС после испытательного срока; Диагностика, исследования, приёмы, консультации врачей и лечение – бесплатно. Стоматология и премиальные клиники – со скидкой до 75%; Возможность путешествовать всей семьей по специальным корпоративным тарифам на рейсах S7; Программа корпоративных скидок PrimeZone. Скидки от -5% до -80% у 1500+ партнёров по всей стране (развлечения, магазины, рестораны, фитнес, салоны красоты, турфирмы, онлайн-обучение, недвижимость и т.д.); «Понимаю» - программа психологической, финансовой и юридической поддержки сотрудников. Безлимитное количество консультаций; Программа здорового образа жизни S7 Impulse (бесплатные онлайн- и оффлайн-тренировки по разным видам спорта); Программы для детей сотрудников (-75% на путёвки в детские летние лагеря, подарки детям сотрудников на Новый год, Детские новогодние ёлки, подарки первоклассникам).","['python', 'r', 'matplotlib', 'seaborn', 'plotly', 'tableau', 'sql']",7,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bi-аналитик,BI Analyst,BI Analyst
Аналитик данных,ТОО ЧАСТНАЯ КОМПАНИЯ INTERNATIONAL TRADING SYSTEM LIMITED,"Астана, улица Достык, 16",Опыт 3-6 лет,https://hh.ru/vacancy/136253912?query=BI+Analyst,BI Analyst,1,136253912,['BI Analyst'],"Мы ищем Data Analyst , который будет работать с большими массивами торговых данных и участвовать в выявлении аномальной и потенциально подозрительной торговой активности на финансовых рынках. В этой роли вы будете сочетать анализ данных, понимание рыночной микроструктуры и применение аналитических инструментов для выявления нестандартных торговых паттернов, совершенствования систем мониторинга и подготовки аналитических материалов. Обязанности: Анализ больших массивов торговых данных для выявления аномальной и нестандартной активности; Проведение анализа сделок и заявок для выявления потенциальных признаков манипулирования рынком , включая spoofing, layering, wash trading и другие подозрительные практики; Анализ торговой активности до и после значимых корпоративных событий, публикации существенной информации и новостей; Выявление нетипичных торговых паттернов, взаимосвязей между участниками, инструментами, заявками и сделками; Подготовка аналитических отчетов и материалов по результатам выявленных отклонений; Формирование выборок и проведение углубленного анализа данных по подозрительным транзакциям; Участие в настройке, тестировании и калибровке параметров автоматизированных систем мониторинга; Разработка и совершенствование аналитических показателей, сценариев и подходов для выявления аномалий; Постановка технических задач по доработке и развитию систем мониторинга; Взаимодействие с подразделениями Risk, Compliance, Trading, IT и другими смежными подразделениями; Участие в подготовке данных и аналитических материалов для внутренних проверок и взаимодействия с регулятором. Требования: Высшее образование в области экономики, финансов, математики, статистики, информационных технологий, анализа данных или смежных областях; Опыт работы от 3 лет в сфере Data Analytics, Risk Analytics, Market Surveillance, Risk Management, Trading Analytics или смежных направлениях; Практический опыт работы с большими массивами структурированных данных; Хорошее понимание финансовых рынков и рыночной микроструктуры , включая стакан заявок, типы ордеров, торговые механизмы и основные виды торговых стратегий; Понимание основных видов рыночных манипуляций и принципов их выявления; Уверенное владение SQL для извлечения, обработки и анализа больших объемов данных; Знание методов статистического анализа и выявления аномалий; Умение формулировать гипотезы, находить закономерности в данных и интерпретировать результаты анализа; Опыт работы с Python, R или другим языком программирования для анализа данных будет преимуществом; Опыт работы с BI-инструментами (Power BI, Tableau и др.) будет преимуществом; Способность самостоятельно проводить исследование от постановки аналитической задачи до формирования выводов и рекомендаций; Внимательность к деталям, системное мышление и высокий уровень аналитических навыков. Будет преимуществом Опыт работы в бирже, брокерской/дилерской организации, управляющей компании, банке или финансовом регуляторе ; Опыт в области market surveillance / market abuse detection ; Знание подходов к выявлению spoofing, layering, wash trading, marking the close и других форм манипулирования рынком; Опыт разработки или калибровки правил и алгоритмов автоматизированного мониторинга; Знание требований регуляторов в области предотвращения рыночных злоупотреблений; Опыт анализа order book / tick-by-tick data. Что мы предлагаем Работа с реальными данными финансового рынка и современными аналитическими инструментами; Участие в развитии системы мониторинга торгов и аналитической инфраструктуры; Возможность работать на стыке Data Analytics, финансовых рынков и regulatory technology; Профессиональное развитие в области анализа рыночного поведения и финансовых технологий; Работа в команде профессионалов финансового рынка.","['python', 'r', 'power_bi', 'tableau', 'sql']",5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик данных,Data Analyst,Data Analyst
Ведущий продуктовый аналитик в команду CRM маркетинга\Product Analyst Middle – Marketing (CRM),S8 Capital,Москва,Без опыта,https://hh.ru/vacancy/136303489?query=BI+Analyst,BI Analyst,1,136303489,['BI Analyst'],"Мы — команда CVM (Customer Value Management). Наша задача — максимально эффективно развивать клиентскую базу: увеличивать ценность клиентов, улучшать их опыт и повышать отдачу от коммуникаций и маркетинговых активностей. Мы принимаем решения на основе данных, активно используем эксперименты и продвинутую аналитику . Обязанности: Разрабатывать, проводить и анализировать A/B-тесты, а также другие виды экспериментов для оценки эффективности маркетинговых и клиентских инициатив. Разрабатывать и совершенствовать модели клиентской аналитики , включая сегментацию клиентов, оценку клиентской ценности (Customer Lifetime Value, RFM-анализ и др.), а также прогнозирование клиентского поведения. Проводить оценку эффективности целевых маркетинговых кампаний и промо-акций, формировать аналитические заключения и рекомендации на основе статистических методов и методов причинно-следственного анализа. Прогнозировать бизнес-эффекты от планируемых инициатив, разрабатывать подходы к измерению их результатов и оценке экономической эффективности. Разрабатывать, автоматизировать и оптимизировать аналитическую отчетность подразделения (Superset) Контролировать качество данных и методологию расчета ключевых клиентских метрик. Требования: продвинутые навыки работы с SQL; знания методов статистического анализа, включая A/B тестирование; опыт работы с инструментами для визуализации данных, анализа и обработки данных (Pandas , NumPy , Matplotlib, Seaborn или др.) опыт работы с BI системами (мы используем Superset) Условия: ​​​​​​​​​​​​​​​​​​​​​​​​​​​Официальное оформление согласно ТК РФ в IT-компанию; Расширенный полис ДМС со стоматологией после испытательного срока; Возможности развития: возможность горизонтального и вертикального роста, бесплатное обучение в корпоративном университете S8 Академия (имеет образовательную лицензию), а также возможность внешнего обучения, которое оплачивает холдинг; Насыщенная корпоративная жизнь: квиз-соревнования; благотворительные мероприятия; волонтёрское движение; запоминающиеся корпоративы; Корпоративный спорт: футбол, волейбол, баскетбол, йога, беговой клуб, киберспорт; Доступ к корпоративному пакету скидок PrimeZone – в фитнес-клубы, на уроки английского и т.д.; Ещё мы знаем, как важно проводить время с семьей и детьми – поэтому мы организовываем конкурсы детского творчества, дарим классные подарки за участие, и отпускаем родителей на линейку 1 сентября.","['pandas', 'numpy', 'matplotlib', 'seaborn', 'sql']",5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ведущий продуктовый аналитик в команду crm маркетинга\product analyst middle – marketing (crm),Data Analyst,Other
Ведущий BI-аналитик / Эксперт Power BI,ООО Йуми,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135977164?query=BI+Analyst,BI Analyst,2,135977164,['BI Analyst'],"Наша компания Йуми за последние несколько лет существенно выросла и продолжает активно развиваться. В связи с масштабированием бизнеса и развитием системы управленческой отчетности мы ищем в команду финансового директора эксперта по Power BI. Основная цель роли — разработка, автоматизация и развитие управленческой отчетности компании. Методологию, состав показателей и логику расчетов определяет финансовый директор. От коллеги ожидаем сильную практическую работу руками, самостоятельную реализацию задач, инициативность и готовность при необходимости координировать отдельные проекты. Основные задачи Разработка, доработка и сопровождение управленческих дашбордов в Power BI. Реализация P&L, Cash Flow, BS, юнит-экономики, аналитики продаж и других отчетов по утвержденной методологии в Power BI. Построение моделей данных, настройка связей, справочников, календарей и расчетных показателей. Разработка DAX-мер и преобразование данных с использованием Power Query и языка M. Подключение и объединение данных из 1С ERP, Excel, Google Таблиц и других источников. Автоматизация отчетов и расчетов в Power BI, Excel и Google Таблицах. Настройка публикации, обновления данных, RLS и прав доступа к отчетам. Проверка полноты и корректности данных, поиск причин расхождений и устранение ошибок. Участие в переходе компании на 1С ERP в части управленческой отчетности, тестирования и проверки данных. Подготовка предложений по улучшению отчетности, визуализации и автоматизации процессов. Требования Сильный практический опыт разработки отчетов и дашбордов в Power BI. Умение самостоятельно работать руками: от получения и обработки данных до публикации готового отчета. Уверенное владение DAX, Power Query и языком M. Опыт самостоятельного построения моделей данных и подключения нескольких источников. Опыт настройки обновлений, RLS, публикации отчетов и разграничения доступа. Продвинутый уровень Excel, включая сложные формулы, сводные таблицы, Power Query и Power Pivot. Уверенная работа с Google Таблицами: формулы, массивы, сводные таблицы и автоматизация расчетов. Умение проверять данные, находить ошибки и обеспечивать достоверность итоговых показателей. Самостоятельность, системность, внимательность к цифрам и соблюдение сроков. Готовность показать примеры отчетов и дашбордов, выполненных лично. Будет плюсом Опыт работы с 1С ERP и понимание структуры данных 1С. Опыт подготовки управленческой отчетности: P&L, Cash Flow, BS, бюджетирование и план-фактный анализ. Понимание юнит-экономики, себестоимости и распределения затрат. Знание SQL и опыт работы с базами данных. Опыт применения ИИ-инструментов для работы с данными, DAX, SQL и автоматизации отчетности. Опыт координации аналитических проектов или работы других специалистов. Условия Доход от 230 000 рублей на руки по ТК РФ. Рассматриваем ожидания кандидата. Возможен KPI за реализованные проекты. Подчинение финансовому директору. Профессиональный рост и участие в сильных проектах в растущем бизнесе. Карьерный рост до руководителя отдела Испытательный срок — 3 месяца. Офис: г. Москва, ул. Прянишникова, 19А, стр. 9. На этапе адаптации важно очное присутствие в офисе. После адаптации возможен гибридный формат. Важно В сопроводительном письме обязательно укажите наиболее сильный проект, выполненный вами в Power BI: бизнес-задачу, источники данных, вашу личную роль и полученный результат. Просим также приложить или предоставить ссылку на 2–3 обезличенных примера работ. Резюме без описания практического опыта в Power BI не рассматриваются.","['power_bi', 'excel', 'power_query', 'dax', 'sql']",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ведущий bi-аналитик / эксперт power bi,BI Analyst,BI Analyst
Бизнес-аналитик/BI-аналитик,ООО Айдеко,Екатеринбург,Опыт 3-6 лет,https://hh.ru/vacancy/136256504?query=BI+Analyst,BI Analyst,2,136256504,['BI Analyst'],"Мы ищем бизнес- аналитика с опытом BI на проект, который умеет пройти весь путь от разговора с бизнесом до работающего аналитического решения, и готов расти вместе с проектом до штатной позиции. Какие задачи ты будешь решать? Снятие с руководителей разного уровня бизнес-проблем и требований к отчётности коммерческого блока; Декомпозиция запросов и выделение реальной управленческой задачи, стоящей за первоначальным запросом на отчётность; Определение целей, KPI пользователей и сценариев, в которых руководители принимают решения на основании данных; Определение единых источников и логики данных; Сбор, формализация и согласование технического задания; Проектирование и реализация BI -решения на основе согласованного ТЗ. Ты подойдёшь, если: Есть релевантный опыт и подтверждённое портфолио реализованных BI -проектов; Умеешь самостоятельно проходить путь от диагностики запроса бизнеса до готового аналитического решения, а не только строить дашборды по готовому ТЗ; Умеешь формализовывать требования и согласовывать техническое задание с заказчиком; Готов участвовать в рабочих встречах в Екатеринбурге (гибридный формат). Будет здорово, если есть: Опыт работы с 1С, Битрикс24 и BI -инструментами; Опыт работы с управленческой отчётностью коммерческого блока.",[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,бизнес-аналитик/bi-аналитик,BI Analyst,BI Analyst
Начинающий аналитик данных / BI-аналитик,ACCELERATION,Москва,Опыт 1-3 года,https://hh.ru/vacancy/135475242?query=BI+Analyst,BI Analyst,2,135475242,['BI Analyst'],"Ищем начинающего специалиста с опытом работы от 1 года, который хочет развиваться в области аналитики данных, автоматизации отчетности и создания дашбордов. Обязанности Обработка и анализ данных. Подготовка регулярной управленческой отчетности. Автоматизация формирования отчетов из баз данных и других источников. Создание и доработка дашбордов в Microsoft Power BI. Поддержание системы дашбордов в актуальном состоянии. Сбор, выгрузка и хранение данных. Проведение аналитических исследований. Подготовка отчетов, выводов и рекомендаций по результатам анализа. Создание и актуализация документации по отчетности. Наши ожидания Опыт работы в аналитике данных или отчетности от 1 года. Базовый опыт работы с базами данных и SQL. Опыт создания отчетов и дашбордов в Microsoft Power BI. Понимание принципов обработки и визуализации данных. Опыт работы с SAP BusinessObjects будет преимуществом. Знакомство с одной или несколькими системами: MS SQL Server, Oracle, PostgreSQL, Greenplum или Hadoop. Понимание принципов событийной модели данных будет преимуществом. Аналитический склад ума и структурированное мышление. Внимательность, ответственность и инициативность. Готовность учиться и самостоятельно решать поставленные задачи. Мы предлагаем Разнообразные проекты и интересные задачи. Обучение и поддержку в период адаптации. Возможности для профессионального и карьерного роста. Официальное трудоустройство в соответствии с ТК РФ. Полностью официальную заработную плату. График работы 5/2, с 09:00 до 18:00. Работу в офисе работодателя. Офис в шаговой доступности от станций метро «Улица 1905 года» и «Краснопресненская». Ключевые навыки Microsoft Power BI SQL Базы данных Анализ данных Подготовка отчетности Визуализация данных Разработка дашбордов Microsoft PowerPoint SAP BusinessObjects MS SQL Server PostgreSQL","['power_bi', 'sql', 'postgresql', 'ms_sql_server', 'hadoop']",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,начинающий аналитик данных / bi-аналитик,BI Analyst,BI Analyst
Data Analyst,.wrk,Мексика,Опыт 1-3 года,https://hh.ru/vacancy/135775117?query=BI+Analyst,BI Analyst,2,135775117,['BI Analyst'],"Hi, we’re the IT company .wrk! For 14 years, we have been providing IT services to large international companies in the media industry, as well as startups in healthcare, education, and e-commerce. Most of our clients are based in the US and Canada. At the same time, we continue developing projects with partners in Russia. We are currently expanding our Delivery team and looking for a Data Analyst who will work with international clients and help businesses make data-driven decisions. What you will be doing: Building and maintaining interactive dashboards using Streamlit ; Developing client-facing and internal reports using Excel , pulling and synthesizing data from multiple sources; Analyzing data using SQL scripts, Excel and other analytical tools; Performing data QA and resolving discrepancies; Partnering with Data Engineers to define reporting requirements and support pipeline QA; Creating and maintaining documentation outlining reporting logic, data structures, and workflows; Supporting client meetings and presenting analytical insights; Translating data into clear and compelling business storytelling. Our expectations: 3+ years of experience as a Data Analyst (mid- to senior-level); English C1 or higher is required (regular client communication); Experience with Streamlit for building and maintaining dashboards; Strong proficiency in SQL Scripts and Excel; Experience working with marketing data and understanding core marketing metrics; Ability to clearly articulate insights and present findings to stakeholders; Comfortable collaborating directly with clients and participating in presentations; Strong analytical profile (we are looking specifically for an analyst, not a data engineer). Working conditions: Full-time position; Remote work format; Contract through individual entrepreneur (IP) or self-employed status (in Russia or abroad); Availability during core business hours (8/9 AM–4/5 PM EST or CST); Participation in international projects and direct interaction with overseas clients; Corporate English classes with partial company reimbursement. Apply for the position and join our awesome team!","['excel', 'sql']",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data analyst,Data Analyst,Data Analyst
Аналитик данных/Data Analyst,ФГУП ЦРП,Москва,Опыт 3-6 лет,https://hh.ru/vacancy/135399672?query=BI+Analyst,BI Analyst,2,135399672,['BI Analyst'],"Сфера деятельности - автоматизация статистической и управленческой отчетностей (BI) в промышленном секторе (станкостроение, машиностроение) Задачи: Сбор данных (из БД, файловых систем, внешних сервисов и API), интеграция их в централизованное хранилище, Автоматизация ETL/ELT процессов, Разработка, тестирование и поддержка архитектур данных, Мониторинг производительности и отказоустойчивости пайплайнов, Анализ качества данных, проверка чистоты, системное обновление данных из внешних и внутренних источников, Разработка отчетов и дэшбордов, Поиск и анализ информации, подготовка информационно-аналитических материалов. Hard skills (по ключевым - нужны тесты * hh уровня ""продвинутый"" (!), указаны звёздочкой : Экспертное владение Excel * : сложные формулы, ВПР/ГПР, макросы, сводные таблицы, навыки оптимизации запросов и т.д., Проектирование, построение, оптимизация и поддержка БД, Владение средствами визуализации (Power BI, Tableau, Visiology или другие), Уверенное владение Python * и SQL * , Владение PostgreSQL * , MongoDB, другими реляционными/NoSQL БД, Понимание ETL/ELT-процессов, знание соответствующих инструментов, Знание принципов работы с API для получения данных, Владение методами очистки и предобработки данных. Опыт и образование: Опыт работы с большими БД, построения дата-хранилищ, Опыт в машиностроении/станкостроении, продажах и маркетинге – плюс, Владение инструментами оркестрации (Docker и др.) – плюс. Фундаментальное математическое/IT образование – плюс Опыт разработки и анализа ФЭМ – плюс Портфолио по ключевым hard skills Что вы получите: Портфолио разработки крупных государственных проектов, работа с экспертами отрасли (станкостроение, машиностроение), Надежность работодателя на федеральном уровне: полный пакет социальных гарантий/ Условия: Зарплата обсуждается с кандидатом (просим в отклике указывать ожидаемую з/п) 13 зарплата и другие премии по результатам. График работы – 5/2, с 8 до 17, или с 9 до 18 (офис full time, гибрид обсуждаем после исп.срока)","['python', 'power_bi', 'tableau', 'excel', 'sql', 'postgresql', 'mongodb', 'docker']",8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,аналитик данных/data analyst,Data Analyst,Data Analyst
